Column 2,Column 3,Column 6,Column 7,Column 8
1,1,50,1:24:19.293,25
2,16,50,+0.549s,19
3,55,50,+8.097s,15
4,11,50,+10.800s,12
5,63,50,+32.732s,10
6,31,50,+56.017s,8
7,4,50,+56.124s,6
8,10,50,+62.946s,4
9,20,50,+64.308s,2
10,44,50,+73.948s,1
11,24,50,+82.215s,0
12,27,50,+91.742s,0
13,18,49,+1 lap,0
14,23,47,DNF,0
NC,77,36,DNF,0
NC,14,35,DNF,0
NC,3,35,DNF,0
NC,6,14,DNF,0
NC,22,0,DNS,0
NC,47,0,DNS,0
