Column 2,Column 3,Column 6,Column 7,Column 8
1,1,53,1:30:02.112,25
2,44,53,+10.587s,18
3,63,53,+16.495s,15
4,11,53,+17.310s,12
5,55,53,+28.872s,11
6,14,53,+42.879s,8
7,4,53,+52.026s,6
8,31,53,+56.959s,4
9,3,53,+60.372s,2
10,18,53,+62.549s,1
11,5,53,+64.494s,0
12,10,53,+65.448s,0
13,23,53,+68.565s,0
14,77,53,+76.666s,0
15,47,53,+80.394s,0
16,24,47,+6 laps,0
NC,6,40,DNF,0
NC,20,37,DNF,0
NC,16,17,DNF,0
NC,22,17,DNF,0
