Column 2,Column 3,Column 6,Column 7,Column 8
1,16,58,1:27:46.548,26
2,11,58,+20.524s,18
3,63,58,+25.593s,15
4,44,58,+28.543s,12
5,4,58,+53.303s,10
6,3,58,+53.737s,8
7,31,58,+61.683s,6
8,77,58,+68.439s,4
9,10,58,+76.221s,2
10,23,58,+79.382s,1
11,24,58,+81.695s,0
12,18,58,+88.598s,0
13,47,57,+1 lap,0
14,20,57,+1 lap,0
15,22,57,+1 lap,0
16,6,57,+1 lap,0
17,14,57,+1 lap,0
NC,1,38,DNF,0
NC,5,22,DNF,0
NC,55,1,DNF,0
