Column 2,Column 3,Column 6,Column 7,Column 8
1,55,52,2:17:50.311,25
2,11,52,+3.779s,18
3,44,52,+6.225s,16
4,16,52,+8.546s,12
5,14,52,+9.571s,10
6,4,52,+11.943s,8
7,1,52,+18.777s,6
8,47,52,+18.995s,4
9,5,52,+22.356s,2
10,20,52,+24.590s,1
11,18,52,+26.147s,0
12,6,52,+32.511s,0
13,3,52,+32.817s,0
14,22,52,+40.910s,0
NC,31,37,DNF,0
NC,10,26,DNF,0
NC,77,20,DNF,0
NC,63,0,DNF,0
NC,24,0,DNF,0
NC,23,0,DNF,0
