Column 2,Column 3,Column 6,Column 7,Column 8
1,1,72,1:36:42.773,26
2,63,72,+4.071s,18
3,16,72,+10.929s,15
4,44,72,+13.016s,12
5,11,72,+18.168s,10
6,14,72,+18.754s,8
7,4,72,+19.306s,6
8,55,72,+20.916s,4
9,31,72,+21.117s,2
10,18,72,+22.459s,1
11,10,72,+27.009s,0
12,23,72,+30.390s,0
13,47,72,+32.995s,0
14,5,72,+36.007s,0
15,20,72,+36.869s,0
16,24,72,+37.320s,0
17,3,72,+37.764s,0
18,6,71,+1 lap,0
NC,77,53,DNF,0
NC,22,43,DNF,0
