Column 2,Column 3,Column 6,Column 7,Column 8
1,1,44,1:25:52.894,26
2,11,44,+17.841s,18
3,55,44,+26.886s,15
4,63,44,+29.140s,12
5,14,44,+73.256s,10
6,16,44,+74.936s,8
7,31,44,+75.640s,6
8,5,44,+78.107s,4
9,10,44,+92.181s,2
10,23,44,+101.900s,1
11,18,44,+103.078s,0
12,4,44,+104.739s,0
13,22,44,+105.217s,0
14,24,44,+106.252s,0
15,3,44,+107.163s,0
16,20,43,+1 lap,0
17,47,43,+1 lap,0
18,6,43,+1 lap,0
NC,77,1,DNF,0
NC,44,0,DNF,0
