Column 2,Column 3,Column 6,Column 7,Column 8
1,16,71,1:24:24.312,25
2,1,71,+1.532s,19
3,44,71,+41.217s,15
4,63,71,+58.972s,12
5,31,71,+68.436s,10
6,47,70,+1 lap,8
7,4,70,+1 lap,6
8,20,70,+1 lap,4
9,3,70,+1 lap,2
10,14,70,+1 lap,1
11,77,70,+1 lap,0
12,23,70,+1 lap,0
13,18,70,+1 lap,0
14,24,70,+1 lap,0
15,10,70,+1 lap,0
16,22,70,+1 lap,0
17,5,70,+1 lap,0
NC,55,56,DNF,0
NC,6,48,DNF,0
NC,11,24,DNF,0
