Column 2,Column 3,Column 6,Column 7,Column 8
1,1,51,1:34:05.941,25
2,11,51,+20.823s,19
3,63,51,+45.995s,15
4,44,51,+71.679s,12
5,10,51,+77.299s,10
6,5,51,+84.099s,8
7,14,51,+88.596s,6
8,3,51,+92.207s,4
9,4,51,+92.556s,2
10,31,51,+108.184s,1
11,77,50,+1 lap,0
12,23,50,+1 lap,0
13,22,50,+1 lap,0
14,47,50,+1 lap,0
15,6,50,+1 lap,0
16,18,46,DNF,0
NC,20,31,DNF,0
NC,24,23,DNF,0
NC,16,21,DNF,0
NC,55,8,DNF,0
