Column 2,Column 3,Column 6,Column 7,Column 8
1,1,71,1:38:36.729,25
2,44,71,+15.186s,18
3,11,71,+18.097s,15
4,63,71,+49.431s,13
5,55,71,+58.123s,10
6,16,71,+68.774s,8
7,3,70,+1 lap,6
8,31,70,+1 lap,4
9,4,70,+1 lap,2
10,77,70,+1 lap,1
11,10,70,+1 lap,0
12,23,70,+1 lap,0
13,24,70,+1 lap,0
14,5,70,+1 lap,0
15,18,70,+1 lap,0
16,47,70,+1 lap,0
17,20,70,+1 lap,0
18,6,69,+2 laps,0
19,14,63,DNF,0
NC,22,50,DNF,0
