Column 2,Column 3,Column 6,Column 7,Column 8
1,63,71,1:38:34.044,26
2,44,71,+1.529s,18
3,55,71,+4.051s,15
4,16,71,+8.441s,12
5,14,71,+9.561s,10
6,1,71,+10.056s,8
7,11,71,+14.080s,6
8,31,71,+18.690s,4
9,77,71,+22.552s,2
10,18,71,+23.552s,1
11,5,71,+26.183s,0
12,24,71,+29.325s,0
13,47,71,+29.899s,0
14,10,71,+31.867s,0
15,23,71,+36.016s,0
16,6,71,+37.038s,0
17,22,70,+1 lap,0
NC,4,50,DNF,0
NC,20,0,DNF,0
NC,3,0,DNF,0
