Column 2,Column 3,Column 6,Column 7,Column 8
1,11,59,2:02:20.238,25
2,16,59,+2.595s,18
3,55,59,+10.305s,15
4,4,59,+21.133s,12
5,3,59,+53.282s,10
6,18,59,+56.330s,8
7,1,59,+58.825s,6
8,5,59,+60.032s,4
9,44,59,+61.515s,2
10,10,59,+69.576s,1
11,77,59,+88.844s,0
12,20,59,+92.610s,0
13,47,58,+1 lap,0
14,63,57,+2 laps,0
NC,22,34,DNF,0
NC,31,26,DNF,0
NC,23,25,DNF,0
NC,14,20,DNF,0
NC,6,7,DNF,0
NC,24,6,DNF,0
