Column 2,Column 3,Column 6,Column 7,Column 8
1,1,57,1:34:24.258,26
2,16,57,+3.786s,18
3,55,57,+8.229s,15
4,11,57,+10.638s,12
5,63,57,+18.582s,10
6,44,57,+21.368s,8
7,77,57,+25.073s,6
8,31,57,+28.386s,4
9,23,57,+32.365s,2
10,18,57,+37.026s,1
11,14,57,+37.128s,0
12,22,57,+40.146s,0
13,3,57,+40.902s,0
14,6,57,+49.936s,0
15,47,57,+73.305s,0
16,20,56,DNF,0
17,5,54,DNF,0
NC,10,45,DNF,0
NC,4,39,DNF,0
NC,24,6,DNF,0
