Column 2,Column 3,Column 6,Column 7,Column 8
1,1,56,1:42:11.687,25
2,44,56,+5.023s,18
3,16,56,+7.501s,15
4,11,56,+8.293s,12
5,63,56,+44.815s,11
6,4,56,+53.785s,8
7,14,56,+55.078s,6
8,5,56,+65.354s,4
9,20,56,+65.834s,2
10,22,56,+70.919s,1
11,31,56,+72.875s,0
12,24,56,+76.164s,0
13,23,56,+80.057s,0
14,10,56,+81.763s,0
15,47,56,+84.490s,0
16,3,56,+90.487s,0
17,6,56,+103.588s,0
NC,18,21,DNF,0
NC,77,16,DNF,0
NC,55,1,DNF,0
