Column 2,Column 3,Column 6,Column 7,Column 8
1,1,63,1:32:07.986,26
2,11,63,+16.527s,18
3,4,63,+34.834s,15
4,63,63,+42.506s,12
5,77,63,+43.181s,10
6,16,63,+56.072s,8
7,22,63,+61.110s,6
8,5,63,+70.892s,4
9,20,63,+75.260s,2
10,18,62,+1 lap,1
11,23,62,+1 lap,0
12,10,62,+1 lap,0
13,44,62,+1 lap,0
14,31,62,+1 lap,0
15,24,62,+1 lap,0
16,6,62,+1 lap,0
17,47,62,+1 lap,0
18,3,62,+1 lap,0
NC,14,6,DNF,0
NC,55,0,DNF,0
