Column 2,Column 3,Column 6,Column 7,Column 8
1,1,70,1:36:21.757,25
2,55,70,+0.993s,19
3,44,70,+7.006s,15
4,63,70,+12.313s,12
5,16,70,+15.168s,10
6,31,70,+23.890s,8
7,77,70,+25.247s,6
8,24,70,+26.952s,4
9,14,70,+29.945s,2
10,18,70,+38.222s,1
11,3,70,+43.047s,0
12,5,70,+44.245s,0
13,23,70,+44.893s,0
14,10,70,+45.183s,0
15,4,70,+52.145s,0
16,6,70,+59.978s,0
17,20,70,+68.180s,0
NC,22,47,DNF,0
NC,47,18,DNF,0
NC,11,7,DNF,0
