Column 2,Column 3,Column 6,Column 7,Column 8
1,1,53,1:20:27.511,25
2,16,53,+2.446s,18
3,63,53,+3.405s,15
4,55,53,+5.061s,12
5,44,53,+5.380s,10
6,11,53,+6.091s,9
7,4,53,+6.207s,6
8,10,53,+6.396s,4
9,45,53,+7.122s,2
10,24,53,+7.910s,1
11,31,53,+8.323s,0
12,47,53,+8.549s,0
13,77,52,+1 lap,0
14,22,52,+1 lap,0
15,6,52,+1 lap,0
16,20,52,+1 lap,0
NC,3,45,DNF,0
NC,18,39,DNF,0
NC,14,31,DNF,0
NC,5,10,DNF,0
